Place,Crime Category,Year,Amount
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2020,350.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2019,369.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2018,268.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2017,400.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2016,368.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2015,432.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2014,386.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2013,320.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2012,278.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2011,253.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2010,345.0
Total Nacional,    3.4.-Pornografía de menores,2022,707.0
Total Nacional,    3.4.-Pornografía de menores,2021,739.0
Total Nacional,    3.4.-Pornografía de menores,2020,762.0
Total Nacional,    3.4.-Pornografía de menores,2019,866.0
Total Nacional,    3.4.-Pornografía de menores,2018,892.0
Total Nacional,    3.4.-Pornografía de menores,2017,767.0
Total Nacional,    3.4.-Pornografía de menores,2016,621.0
Total Nacional,    3.4.-Pornografía de menores,2015,748.0
Total Nacional,    3.4.-Pornografía de menores,2014,625.0
Total Nacional,    3.4.-Pornografía de menores,2013,508.0
Total Nacional,    3.4.-Pornografía de menores,2012,569.0
Total Nacional,    3.4.-Pornografía de menores,2011,715.0
Total Nacional,    3.4.-Pornografía de menores,2010,953.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2022,2226.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2021,2074.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2020,2001.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2019,2120.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2018,1895.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2017,1809.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2016,1829.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2015,1683.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2014,1685.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2013,1552.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2012,1429.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2011,1558.0
Total Nacional,    3.5.-Otros contra la libertad sexual,2010,1600.0
Total Nacional,    4. RELACIONES FAMILIARES,2022,7567.0
Total Nacional,    4. RELACIONES FAMILIARES,2021,7410.0
Total Nacional,    4. RELACIONES FAMILIARES,2020,6831.0
Total Nacional,    4. RELACIONES FAMILIARES,2019,7288.0
Total Nacional,    4. RELACIONES FAMILIARES,2018,7630.0
Total Nacional,    4. RELACIONES FAMILIARES,2017,7915.0
Total Nacional,    4. RELACIONES FAMILIARES,2016,8043.0
Total Nacional,    4. RELACIONES FAMILIARES,2015,9814.0
Total Nacional,    4. RELACIONES FAMILIARES,2014,10506.0
Total Nacional,    4. RELACIONES FAMILIARES,2013,10331.0
Total Nacional,    4. RELACIONES FAMILIARES,2012,10424.0
Total Nacional,    4. RELACIONES FAMILIARES,2011,9087.0
Total Nacional,    4. RELACIONES FAMILIARES,2010,7877.0
Total Nacional,    5. PATRIMONIO,2022,1747464.0
Total Nacional,    5. PATRIMONIO,2021,1434698.0
Total Nacional,    5. PATRIMONIO,2020,1304424.0
Total Nacional,    5. PATRIMONIO,2019,1707144.0
Total Nacional,    5. PATRIMONIO,2018,1664242.0
Total Nacional,    5. PATRIMONIO,2017,1593930.0
Total Nacional,    5. PATRIMONIO,2016,1572967.0
Total Nacional,    5. PATRIMONIO,2015,1573983.0
Total Nacional,    5. PATRIMONIO,2014,1595984.0
Total Nacional,    5. PATRIMONIO,2013,1679585.0
Total Nacional,    5. PATRIMONIO,2012,1754632.0
Total Nacional,    5. PATRIMONIO,2011,1742631.0
Total Nacional,    5. PATRIMONIO,2010,1779019.0
Total Nacional,    5.1.-Hurtos,2022,642276.0
Total Nacional,    5.1.-Hurtos,2021,493479.0
Total Nacional,    5.1.-Hurtos,2020,420950.0
Total Nacional,    5.1.-Hurtos,2019,700453.0
Total Nacional,    5.1.-Hurtos,2018,706072.0
Total Nacional,    5.1.-Hurtos,2017,712398.0
Total Nacional,    5.1.-Hurtos,2016,711507.0
Total Nacional,    5.1.-Hurtos,2015,715469.0
Total Nacional,    5.1.-Hurtos,2014,727800.0
Total Nacional,    5.1.-Hurtos,2013,770296.0
Total Nacional,    5.1.-Hurtos,2012,790281.0
Total Nacional,    5.1.-Hurtos,2011,786704.0
Total Nacional,    5.1.-Hurtos,2010,785635.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2022,265901.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2021,229137.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2020,219091.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2019,298098.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2018,302043.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2017,301734.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2016,318164.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2015,322705.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2014,344875.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2013,381777.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2012,405939.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2011,414961.0
Total Nacional,    5.2.-Robos con fuerza en las cosas,2010,443772.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2022,101084.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2021,87774.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2020,54633.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2019,108637.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2018,102474.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2017,102988.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2016,104274.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2015,100021.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2014,106174.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2013,123355.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2012,139483.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2011,153259.0
Total Nacional,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2010,141674.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2022,86515.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2021,75501.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2020,72380.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2019,98326.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2018,107166.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2017,105095.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2016,113299.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2015,115302.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2014,120783.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2013,127444.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2012,126425.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2011,100780.0
Total Nacional,    5.2.2.-Robos con fuerza en viviendas,2010,111656.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2022,31552.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2021,27198.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2020,31237.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2019,32363.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2018,33129.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2017,35059.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2016,37619.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2015,35959.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2014,37962.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2013,39940.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2012,41559.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2011,41250.0
Total Nacional,    5.2.3.-Robos con fuerza en establecimientos,2010,48958.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2022,63392.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2021,53073.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2020,45263.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2019,65874.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2018,60295.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2017,61763.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2016,62952.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2015,64581.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2014,70855.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2013,86034.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2012,96607.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2011,87718.0
Total Nacional,    5.3.-Robos con violencia o intimidación,2010,84411.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2022,43100.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2021,35726.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2020,30162.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2019,25916.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2018,24681.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2017,27561.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2016,28900.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2015,28949.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2014,31830.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2013,38975.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2012,45144.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2011,38831.0
Total Nacional,    5.3.1.-Robos con violencia en vía pública,2010,42238.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2022,3669.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2021,3477.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2020,3208.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2019,3223.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2018,3233.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2017,3389.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2016,3521.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2015,3929.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2014,4697.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2013,6306.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2012,6912.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2011,5450.0
Total Nacional,    5.3.2.-Robos con violencia en viviendas,2010,4950.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2022,8210.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2021,6663.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2020,6138.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2019,5609.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2018,5355.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2017,5383.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2016,5174.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2015,5168.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2014,5489.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2013,6747.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2012,6822.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2011,6458.0
Total Nacional,    5.3.3.-Robos con violencia en establecimientos,2010,7772.0
Total Nacional,    5.4.-Sustracción de vehículos,2022,30767.0
Total Nacional,    5.4.-Sustracción de vehículos,2021,26417.0
Total Nacional,    5.4.-Sustracción de vehículos,2020,25387.0
Total Nacional,    5.4.-Sustracción de vehículos,2019,35105.0
Total Nacional,    5.4.-Sustracción de vehículos,2018,35897.0
Total Nacional,    5.4.-Sustracción de vehículos,2017,42519.0
Total Nacional,    5.4.-Sustracción de vehículos,2016,43335.0
Total Nacional,    5.4.-Sustracción de vehículos,2015,43170.0
Total Nacional,    5.4.-Sustracción de vehículos,2014,43206.0
Total Nacional,    5.4.-Sustracción de vehículos,2013,48855.0
Total Nacional,    5.4.-Sustracción de vehículos,2012,55197.0
Total Nacional,    5.4.-Sustracción de vehículos,2011,60061.0
Total Nacional,    5.4.-Sustracción de vehículos,2010,65948.0
Total Nacional,    5.5.-Estafas,2022,465906.0
Total Nacional,    5.5.-Estafas,2021,372678.0
Total Nacional,    5.5.-Estafas,2020,360551.0
Total Nacional,    5.5.-Estafas,2019,327616.0
Total Nacional,    5.5.-Estafas,2018,289182.0
Total Nacional,    5.5.-Estafas,2017,214595.0
Total Nacional,    5.5.-Estafas,2016,179718.0
Total Nacional,    5.5.-Estafas,2015,165267.0
Total Nacional,    5.5.-Estafas,2014,140418.0
Total Nacional,    5.5.-Estafas,2013,122464.0
Total Nacional,    5.5.-Estafas,2012,124647.0
Total Nacional,    5.5.-Estafas,2011,106262.0
Total Nacional,    5.5.-Estafas,2010,102567.0
Total Nacional,    5.5.1.-Estafas informáticas,2022,335995.0
Total Nacional,    5.5.1.-Estafas informáticas,2021,267011.0
Total Nacional,    5.5.1.-Estafas informáticas,2020,257907.0
Total Nacional,    5.5.1.-Estafas informáticas,2019,192375.0
Total Nacional,    5.5.1.-Estafas informáticas,2018,88760.0
Total Nacional,    5.5.1.-Estafas informáticas,2017,60511.0
Total Nacional,    5.5.1.-Estafas informáticas,2016,45894.0
Total Nacional,    5.5.1.-Estafas informáticas,2015,40864.0
Total Nacional,    5.5.1.-Estafas informáticas,2014,32842.0
Total Nacional,    5.5.1.-Estafas informáticas,2013,26664.0
Total Nacional,    5.5.1.-Estafas informáticas,2012,27231.0
Total Nacional,    5.5.1.-Estafas informáticas,2011,21075.0
Total Nacional,    5.5.1.-Estafas informáticas,2010,20563.0
Total Nacional,    5.6.-Daños,2022,213694.0
Total Nacional,    5.6.-Daños,2021,201828.0
Total Nacional,    5.6.-Daños,2020,180429.0
Total Nacional,    5.6.-Daños,2019,219424.0
Total Nacional,    5.6.-Daños,2018,213815.0
Total Nacional,    5.6.-Daños,2017,214246.0
Total Nacional,    5.6.-Daños,2016,214709.0
Total Nacional,    5.6.-Daños,2015,215519.0
Total Nacional,    5.6.-Daños,2014,218166.0
Total Nacional,    5.6.-Daños,2013,226619.0
Total Nacional,    5.6.-Daños,2012,246355.0
Total Nacional,    5.6.-Daños,2011,254361.0
Total Nacional,    5.6.-Daños,2010,266291.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2022,1217.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2021,1176.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2020,930.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2019,1807.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2018,2205.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2017,1622.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2016,1889.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2015,2047.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2014,2608.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2013,3260.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2012,2884.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2011,2643.0
Total Nacional,    5.7.-Contra la propiedad intelectual/industrial,2010,3619.0
Total Nacional,    5.8.-Blanqueo de capitales,2022,411.0
Total Nacional,    5.8.-Blanqueo de capitales,2021,343.0
Total Nacional,    5.8.-Blanqueo de capitales,2020,310.0
Total Nacional,    5.8.-Blanqueo de capitales,2019,295.0
Total Nacional,    5.8.-Blanqueo de capitales,2018,272.0
Total Nacional,    5.8.-Blanqueo de capitales,2017,260.0
Total Nacional,    5.8.-Blanqueo de capitales,2016,262.0
Total Nacional,    5.8.-Blanqueo de capitales,2015,290.0
Total Nacional,    5.8.-Blanqueo de capitales,2014,230.0
Total Nacional,    5.8.-Blanqueo de capitales,2013,243.0
Total Nacional,    5.8.-Blanqueo de capitales,2012,199.0
Total Nacional,    5.8.-Blanqueo de capitales,2011,171.0
Total Nacional,    5.8.-Blanqueo de capitales,2010,182.0
Total Nacional,    5.9.-Otros contra el patrimonio,2022,63900.0
Total Nacional,    5.9.-Otros contra el patrimonio,2021,56567.0
